date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:25	1931/1931	---M-Z	200	added ('OK')	text/html	etag:%22518a68d17d36e8c6ffd261f64bd07b52%22	https://www.silicongalaxy.tech/robots.txt		(from )
22:19:25	5854/5854	---M-Z	200	added ('OK')	text/html	etag:%22518a68d17d36e8c6ffd261f64bd07b52%22	https://www.silicongalaxy.tech/	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/index.html	(from )
22:19:26	1192/1192	---M-Z	200	added ('OK')	application/json	etag:%22215d501c14fd293939f6bf434e73c652%22	https://www.silicongalaxy.tech/manifest.json	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/manifest.json	(from https://www.silicongalaxy.tech/)
22:19:26	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22c93ee31a708ff4058b6eced0744600ec%22	https://www.silicongalaxy.tech/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/vendor/bootstrap/css/bootstrap.min.css	(from https://www.silicongalaxy.tech/)
22:19:26	3476/3476	---M-Z	200	added ('OK')	text/css	etag:%22a680207cf3fac1b2dd8e42741802e9ad%22	https://www.silicongalaxy.tech/css/one-page-wonder.css	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/one-page-wonder.css	(from https://www.silicongalaxy.tech/)
22:19:27	34002/34002	---M-Z	200	added ('OK')	image/png	etag:%22ef14bdc3489e1fc9a1d7f770ef79abee%22	https://www.silicongalaxy.tech/css/logo.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/logo.png	(from https://www.silicongalaxy.tech/)
22:19:27	8642/8642	---M-Z	200	added ('OK')	text/html	etag:%22e089313516ef4cba8f8e80a633a83aea%22	https://www.silicongalaxy.tech/verticals.html	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/verticals.html	(from https://www.silicongalaxy.tech/)
22:19:28	333174/333174	---M-Z	200	added ('OK')	image/png	etag:%22787b42a7d4dea9ebe06e05b2e6ee6d95%22	https://www.silicongalaxy.tech/css/aboutus.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/aboutus.png	(from https://www.silicongalaxy.tech/)
22:19:30	394671/394671	---M-Z	200	added ('OK')	image/png	etag:%22bfa58c7ba5703b88c13e260936cfafae%22	https://www.silicongalaxy.tech/css/Silicongalaxylogo.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/Silicongalaxylogo.png	(from https://www.silicongalaxy.tech/)
22:19:30	86927/86927	---M-Z	200	added ('OK')	text/javascript	etag:%22bb6bd5615ff37889efe395593cc18adb%22	https://www.silicongalaxy.tech/vendor/jquery/jquery.min.js	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/vendor/jquery/jquery.min.js	(from https://www.silicongalaxy.tech/)
22:19:30	47291/47291	---M-Z	200	added ('OK')	image/png	etag:%226b88fe26365be1d5d29e06d747f670b5%22	https://www.silicongalaxy.tech/css/cse-logo.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/cse-logo.png	(from https://www.silicongalaxy.tech/)
22:19:30	67742/67742	---M-Z	200	added ('OK')	text/javascript	etag:%226495b114f170ebb0043253ef2fc9d0f0%22	https://www.silicongalaxy.tech/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://www.silicongalaxy.tech/)
22:19:30	396274/396274	---MC-	200	added ('OK')	text/javascript	date:Thu,%2018%20Jan%202018%2023:45:48%20GMT	https://www.gstatic.com/firebasejs/4.9.0/firebase.js	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.gstatic.com/firebasejs/4.9.0/firebase.js	(from https://www.silicongalaxy.tech/)
22:19:31	3822/3822	---M-Z	200	added ('OK')	text/javascript	etag:%227f18dd7e3c4eb00ab72f77e11c2179dc%22	https://www.silicongalaxy.tech/signin.js	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/signin.js	(from https://www.silicongalaxy.tech/)
22:19:31	83219/83219	---M-Z	200	added ('OK')	image/png	etag:%22057768a3caf256cae21aaba83401e761%22	https://www.silicongalaxy.tech/css/hero1.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/hero1.png	(from https://www.silicongalaxy.tech/css/one-page-wonder.css)
22:19:32	37912/37912	---M-Z	200	added ('OK')	image/png	etag:%22345b4cd2b98d62b6692fd093d87217a1%22	https://www.silicongalaxy.tech/css/cseismicbanner.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/cseismicbanner.png	(from https://www.silicongalaxy.tech/css/one-page-wonder.css)
22:19:32	21507/21507	---M-Z	200	added ('OK')	image/png	etag:%22ee7552221f8677746606fb0a898726ab%22	https://www.silicongalaxy.tech/css/kodotek.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/kodotek.png	(from https://www.silicongalaxy.tech/verticals.html)
22:19:32	14693/14693	---M-Z	200	added ('OK')	image/png	etag:%2263c4e445a30641771fc57b27828fa136%22	https://www.silicongalaxy.tech/css/hackathon.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/hackathon.png	(from https://www.silicongalaxy.tech/verticals.html)
22:19:32	24538/24538	---M-Z	200	added ('OK')	image/png	etag:%22f0275b03bea27c1f8924f7a1c0938bd0%22	https://www.silicongalaxy.tech/css/ncict.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/ncict.png	(from https://www.silicongalaxy.tech/verticals.html)
22:19:32	24621/24621	---M-Z	200	added ('OK')	image/png	etag:%22d6313117d5890e22f6fd2adfba1431da%22	https://www.silicongalaxy.tech/css/crypters.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/crypters.png	(from https://www.silicongalaxy.tech/verticals.html)
22:19:33	50235/50235	---M-Z	200	added ('OK')	image/png	etag:%22f7243fd1a6d2376666e03e1fd7e631da%22	https://www.silicongalaxy.tech/css/knackers.png	C:/Users/Rockbeat/Desktop/iit/CSEISMIC/www.silicongalaxy.tech/css/knackers.png	(from https://www.silicongalaxy.tech/verticals.html)
